"","Crime.Type","Crime.Solved","Victim.Sex","Victim.Age","Victim.Race","Perpetrator.Sex","Perpetrator.Age","Perpetrator.Race","Relationship","Weapon"
"629748","Murder or Manslaughter","Yes","Male",2,"Black","Male",25,"Black","Unknown","Blunt Object"
"629749","Murder or Manslaughter","Yes","Male",35,"White","Male",19,"White","Stranger","Handgun"
"629750","Murder or Manslaughter","No","Female",24,"White","Unknown",0,"Unknown","Unknown","Unknown"
"629751","Murder or Manslaughter","Yes","Male",29,"Black","Female",33,"Black","Boyfriend","Handgun"
"629752","Murder or Manslaughter","Yes","Male",44,"White","Male",28,"White","Acquaintance","Blunt Object"
"629753","Murder or Manslaughter","No","Male",38,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629754","Murder or Manslaughter","Yes","Female",26,"Black","Male",30,"Black","Unknown","Handgun"
"629755","Murder or Manslaughter","Yes","Male",37,"Black","Female",35,"Black","Boyfriend","Handgun"
"629756","Murder or Manslaughter","No","Female",54,"White","Unknown",0,"Unknown","Unknown","Suffocation"
"629757","Murder or Manslaughter","Yes","Male",58,"White","Male",29,"White","Unknown","Handgun"
"629758","Murder or Manslaughter","No","Male",33,"White","Unknown",0,"Unknown","Unknown","Firearm"
"629759","Murder or Manslaughter","No","Male",21,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629760","Murder or Manslaughter","Yes","Male",63,"White","Male",33,"Black","Unknown","Blunt Object"
"629761","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629762","Murder or Manslaughter","Yes","Male",22,"Black","Male",22,"Black","Unknown","Handgun"
"629763","Murder or Manslaughter","Yes","Male",29,"Black","Male",24,"Black","Acquaintance","Handgun"
"629764","Murder or Manslaughter","No","Male",38,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629765","Murder or Manslaughter","Yes","Male",31,"Black","Female",28,"Black","Husband","Unknown"
"629766","Murder or Manslaughter","Yes","Female",25,"Black","Male",33,"Black","Unknown","Handgun"
"629767","Murder or Manslaughter","Yes","Male",29,"Black","Male",26,"Black","Acquaintance","Handgun"
"629768","Murder or Manslaughter","Yes","Male",26,"Black","Male",29,"Black","Acquaintance","Handgun"
"629769","Murder or Manslaughter","Yes","Male",75,"Black","Female",35,"Black","Boyfriend","Knife"
"629770","Murder or Manslaughter","Yes","Female",43,"White","Male",41,"White","Wife","Handgun"
"629771","Murder or Manslaughter","Yes","Male",33,"Black","Male",20,"Black","Unknown","Handgun"
"629772","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629773","Murder or Manslaughter","Yes","Male",19,"Black","Male",22,"Black","Unknown","Handgun"
"629774","Murder or Manslaughter","Yes","Male",50,"White","Male",34,"White","Friend","Handgun"
"629775","Murder or Manslaughter","Yes","Male",57,"White","Male",67,"White","Unknown","Handgun"
"629776","Murder or Manslaughter","No","Male",28,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629777","Murder or Manslaughter","Yes","Male",30,"Black","Male",20,"Black","Unknown","Handgun"
"629778","Murder or Manslaughter","Yes","Male",49,"White","Male",54,"White","Acquaintance","Firearm"
"629779","Murder or Manslaughter","Yes","Male",30,"Black","Male",28,"Black","Acquaintance","Handgun"
"629780","Murder or Manslaughter","Yes","Male",23,"Black","Male",24,"Black","Unknown","Handgun"
"629781","Murder or Manslaughter","Yes","Male",18,"White","Male",17,"White","Friend","Handgun"
"629782","Murder or Manslaughter","No","Male",30,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629783","Murder or Manslaughter","Yes","Male",37,"White","Male",72,"White","Unknown","Handgun"
"629784","Murder or Manslaughter","Yes","Female",1,"Black","Male",20,"Black","Unknown","Handgun"
"629785","Murder or Manslaughter","Yes","Male",23,"Black","Male",30,"Black","Friend","Handgun"
"629786","Murder or Manslaughter","No","Male",47,"White","Unknown",0,"Unknown","Unknown","Unknown"
"629787","Murder or Manslaughter","Yes","Female",37,"Black","Male",39,"Black","Wife","Handgun"
"629788","Murder or Manslaughter","Yes","Male",12,"White","Male",21,"White","Acquaintance","Knife"
"629789","Murder or Manslaughter","No","Male",26,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629790","Murder or Manslaughter","Yes","Male",26,"Black","Male",38,"Black","Unknown","Firearm"
"629791","Murder or Manslaughter","Yes","Male",38,"White","Male",35,"White","Stranger","Handgun"
"629792","Murder or Manslaughter","Yes","Male",27,"White","Male",28,"White","Friend","Handgun"
"629793","Murder or Manslaughter","Yes","Male",26,"Black","Male",38,"Black","Unknown","Firearm"
"629794","Murder or Manslaughter","Yes","Male",45,"White","Male",29,"White","Acquaintance","Handgun"
"629795","Murder or Manslaughter","No","Male",24,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"629796","Murder or Manslaughter","Yes","Male",51,"White","Male",64,"Black","Acquaintance","Knife"
"629797","Murder or Manslaughter","Yes","Male",25,"Black","Male",27,"Black","Acquaintance","Handgun"
"629798","Murder or Manslaughter","Yes","Male",38,"White","Male",35,"White","Stranger","Handgun"
"629799","Murder or Manslaughter","Yes","Male",31,"Black","Male",16,"Black","Unknown","Handgun"
"629800","Murder or Manslaughter","No","Male",38,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"629801","Murder or Manslaughter","No","Male",59,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629802","Murder or Manslaughter","Yes","Female",16,"Black","Male",16,"Black","Acquaintance","Handgun"
"629803","Murder or Manslaughter","Yes","Female",24,"Black","Male",26,"Black","Girlfriend","Knife"
"629804","Murder or Manslaughter","Yes","Male",40,"Black","Male",23,"Black","Stranger","Handgun"
"629805","Murder or Manslaughter","Yes","Male",40,"Black","Male",23,"Black","Stranger","Handgun"
"629806","Murder or Manslaughter","Yes","Male",25,"Black","Female",19,"Black","Boyfriend","Handgun"
"629807","Murder or Manslaughter","Yes","Male",62,"White","Male",41,"White","Unknown","Handgun"
"629808","Murder or Manslaughter","Yes","Male",30,"Black","Male",22,"Black","Stranger","Handgun"
"629809","Murder or Manslaughter","Yes","Female",26,"White","Male",28,"White","Girlfriend","Handgun"
"629810","Murder or Manslaughter","Yes","Female",68,"White","Female",35,"White","Family","Knife"
"629811","Murder or Manslaughter","No","Male",68,"White","Unknown",0,"Unknown","Unknown","Unknown"
"629812","Murder or Manslaughter","Yes","Male",44,"White","Male",61,"White","Family","Shotgun"
"629813","Murder or Manslaughter","Yes","Male",28,"White","Male",26,"White","Unknown","Handgun"
"629814","Murder or Manslaughter","Yes","Male",46,"White","Male",23,"Unknown","Acquaintance","Knife"
"629815","Murder or Manslaughter","Yes","Female",33,"White","Male",47,"Black","Unknown","Handgun"
"629816","Murder or Manslaughter","Yes","Male",61,"White","Female",49,"White","Boyfriend","Blunt Object"
"629817","Murder or Manslaughter","Yes","Male",46,"White","Male",59,"White","Acquaintance","Knife"
"629818","Murder or Manslaughter","Yes","Male",34,"Black","Male",32,"Black","Acquaintance","Handgun"
"629819","Murder or Manslaughter","No","Female",40,"White","Unknown",0,"Unknown","Unknown","Unknown"
"629820","Murder or Manslaughter","Yes","Female",35,"White","Male",32,"White","Sister","Knife"
"629821","Murder or Manslaughter","No","Male",41,"White","Unknown",0,"Unknown","Unknown","Unknown"
"629822","Murder or Manslaughter","Yes","Male",24,"White","Male",23,"White","Stranger","Handgun"
"629823","Murder or Manslaughter","Yes","Male",34,"White","Male",27,"White","Stranger","Knife"
"629824","Murder or Manslaughter","Yes","Male",57,"White","Male",40,"White","Unknown","Handgun"
"629825","Murder or Manslaughter","No","Male",68,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"629826","Murder or Manslaughter","Yes","Male",24,"White","Male",27,"White","Brother","Knife"
"629827","Murder or Manslaughter","Yes","Female",39,"White","Male",38,"White","Girlfriend","Unknown"
"629828","Murder or Manslaughter","Yes","Male",55,"Black","Male",0,"Unknown","Stranger","Knife"
"629829","Murder or Manslaughter","Yes","Male",30,"White","Male",27,"White","Stranger","Knife"
"629830","Murder or Manslaughter","Yes","Male",52,"White","Male",56,"White","Brother","Handgun"
"629831","Murder or Manslaughter","Yes","Male",22,"White","Male",36,"White","Acquaintance","Handgun"
"629832","Murder or Manslaughter","Yes","Male",64,"White","Female",61,"White","Ex-Husband","Handgun"
"629833","Murder or Manslaughter","Yes","Female",84,"White","Male",85,"White","Wife","Handgun"
"629834","Murder or Manslaughter","Yes","Male",40,"White","Male",39,"White","Stranger","Handgun"
"629835","Murder or Manslaughter","Yes","Male",49,"White","Female",54,"White","Boyfriend","Handgun"
"629836","Murder or Manslaughter","No","Female",16,"White","Unknown",0,"Unknown","Unknown","Firearm"
"629837","Murder or Manslaughter","No","Female",48,"White","Unknown",0,"Unknown","Unknown","Firearm"
"629838","Murder or Manslaughter","Yes","Female",22,"White","Male",24,"White","Stranger","Unknown"
"629839","Murder or Manslaughter","Yes","Male",47,"White","Male",24,"White","Acquaintance","Handgun"
"629840","Murder or Manslaughter","Yes","Male",41,"White","Male",58,"White","Stranger","Handgun"
"629841","Murder or Manslaughter","Yes","Female",37,"White","Male",33,"White","Wife","Shotgun"
"629842","Murder or Manslaughter","Yes","Male",28,"Black","Male",42,"White","Stranger","Handgun"
"629843","Murder or Manslaughter","Yes","Female",79,"White","Male",55,"White","Acquaintance","Handgun"
"629844","Murder or Manslaughter","Yes","Female",48,"White","Male",47,"White","Girlfriend","Shotgun"
"629845","Murder or Manslaughter","Yes","Male",33,"White","Male",55,"White","Acquaintance","Drugs"
"629846","Murder or Manslaughter","Yes","Male",55,"White","Male",73,"White","In-Law","Handgun"
"629847","Murder or Manslaughter","Yes","Male",1,"White","Male",25,"White","Unknown","Blunt Object"
"629848","Murder or Manslaughter","Yes","Female",36,"White","Male",40,"White","Wife","Firearm"
"629849","Murder or Manslaughter","Yes","Male",23,"White","Male",41,"White","Acquaintance","Blunt Object"
"629850","Murder or Manslaughter","Yes","Male",20,"White","Male",20,"Black","Stranger","Handgun"
"629851","Murder or Manslaughter","Yes","Male",55,"White","Male",50,"White","Unknown","Unknown"
"629852","Murder or Manslaughter","Yes","Female",60,"White","Male",55,"White","Girlfriend","Unknown"
"629853","Murder or Manslaughter","Yes","Male",33,"White","Female",55,"White","Stranger","Handgun"
"629854","Murder or Manslaughter","Yes","Female",60,"White","Male",55,"White","Girlfriend","Unknown"
"629855","Murder or Manslaughter","Yes","Male",38,"White","Male",63,"White","Son","Handgun"
"629856","Murder or Manslaughter","Yes","Male",49,"White","Male",45,"White","Stranger","Unknown"
"629857","Murder or Manslaughter","Yes","Male",43,"White","Male",23,"White","Acquaintance","Handgun"
"629858","Murder or Manslaughter","Yes","Male",29,"White","Male",24,"White","Acquaintance","Handgun"
"629859","Murder or Manslaughter","No","Male",34,"White","Unknown",0,"Unknown","Unknown","Firearm"
"629860","Murder or Manslaughter","Yes","Male",29,"White","Male",36,"White","Unknown","Handgun"
"629861","Murder or Manslaughter","Yes","Male",60,"White","Male",37,"White","Father","Handgun"
"629862","Murder or Manslaughter","Yes","Male",28,"White","Male",60,"White","Unknown","Firearm"
"629863","Murder or Manslaughter","Yes","Male",38,"White","Male",21,"White","Neighbor","Handgun"
"629864","Murder or Manslaughter","Yes","Male",51,"White","Male",32,"White","Acquaintance","Blunt Object"
"629865","Murder or Manslaughter","No","Male",30,"White","Unknown",0,"Unknown","Unknown","Fire"
"629866","Murder or Manslaughter","No","Male",66,"White","Unknown",0,"Unknown","Unknown","Knife"
"629867","Murder or Manslaughter","Yes","Male",0,"White","Male",16,"White","Family","Blunt Object"
"629868","Murder or Manslaughter","Yes","Male",19,"White","Male",22,"White","Acquaintance","Handgun"
"629869","Murder or Manslaughter","Yes","Male",21,"White","Male",29,"White","Acquaintance","Knife"
"629870","Murder or Manslaughter","Yes","Male",29,"White","Male",45,"White","Friend","Blunt Object"
"629871","Murder or Manslaughter","Yes","Female",45,"White","Male",32,"White","Girlfriend","Unknown"
"629872","Murder or Manslaughter","Yes","Male",36,"White","Male",38,"White","Unknown","Handgun"
"629873","Murder or Manslaughter","Yes","Male",34,"White","Male",19,"White","Neighbor","Shotgun"
"629874","Murder or Manslaughter","Yes","Female",46,"White","Male",42,"White","Wife","Shotgun"
"629875","Murder or Manslaughter","Yes","Male",59,"Black","Female",31,"Black","Acquaintance","Knife"
"629876","Murder or Manslaughter","Yes","Male",21,"Black","Male",61,"Black","Unknown","Knife"
"629877","Murder or Manslaughter","No","Female",998,"White","Unknown",0,"Unknown","Unknown","Handgun"
"629878","Murder or Manslaughter","Yes","Male",12,"Black","Male",44,"Black","Wife","Unknown"
"629879","Murder or Manslaughter","Yes","Unknown",998,"Unknown","Male",57,"Black","Unknown","Firearm"
"629880","Murder or Manslaughter","Yes","Female",28,"White","Male",35,"White","Girlfriend","Shotgun"
"629881","Murder or Manslaughter","No","Male",39,"White","Unknown",0,"Unknown","Unknown","Handgun"
"629882","Murder or Manslaughter","Yes","Female",40,"Black","Male",44,"Black","Wife","Unknown"
"629883","Murder or Manslaughter","Yes","Male",21,"Black","Male",48,"Black","Unknown","Firearm"
"629884","Murder or Manslaughter","No","Male",37,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629885","Murder or Manslaughter","Yes","Male",998,"White","Male",25,"White","Unknown","Knife"
"629886","Murder or Manslaughter","Yes","Female",27,"Black","Male",31,"Black","Wife","Handgun"
"629887","Murder or Manslaughter","Yes","Male",998,"White","Male",19,"Black","Acquaintance","Firearm"
"629888","Murder or Manslaughter","Yes","Male",52,"White","Male",32,"White","Neighbor","Knife"
"629889","Murder or Manslaughter","Yes","Male",23,"White","Male",32,"White","Neighbor","Knife"
"629890","Murder or Manslaughter","Yes","Male",33,"Black","Male",25,"Black","Acquaintance","Handgun"
"629891","Murder or Manslaughter","Yes","Female",25,"White","Male",26,"Black","Acquaintance","Handgun"
"629892","Murder or Manslaughter","Yes","Female",50,"Asian/Pacific Islander","Male",56,"Asian/Pacific Islander","Wife","Shotgun"
"629893","Murder or Manslaughter","Yes","Male",37,"White","Male",27,"White","Acquaintance","Handgun"
"629894","Murder or Manslaughter","Yes","Female",24,"White","Male",26,"Black","Acquaintance","Handgun"
"629895","Murder or Manslaughter","Yes","Female",39,"White","Male",43,"White","Wife","Shotgun"
"629896","Murder or Manslaughter","Yes","Female",50,"Black","Male",45,"Black","Sister","Firearm"
"629897","Murder or Manslaughter","No","Female",16,"Black","Unknown",0,"Unknown","Unknown","Shotgun"
"629898","Murder or Manslaughter","Yes","Male",16,"Black","Female",63,"Black","Unknown","Firearm"
"629899","Murder or Manslaughter","Yes","Male",25,"Black","Male",20,"Black","Acquaintance","Rifle"
"629900","Murder or Manslaughter","No","Female",32,"Black","Unknown",0,"Unknown","Unknown","Blunt Object"
"629901","Murder or Manslaughter","No","Male",32,"Asian/Pacific Islander","Unknown",0,"Unknown","Unknown","Firearm"
"629902","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Shotgun"
"629903","Murder or Manslaughter","Yes","Female",41,"Black","Male",41,"Black","Girlfriend","Rifle"
"629904","Murder or Manslaughter","Yes","Male",30,"Black","Male",18,"Black","Acquaintance","Handgun"
"629905","Murder or Manslaughter","Yes","Male",19,"Black","Male",22,"Black","Acquaintance","Firearm"
"629906","Murder or Manslaughter","Yes","Male",31,"Black","Male",33,"Black","Acquaintance","Firearm"
"629907","Murder or Manslaughter","No","Male",27,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"629908","Murder or Manslaughter","Yes","Female",54,"Black","Male",67,"Black","Acquaintance","Handgun"
"629909","Murder or Manslaughter","Yes","Male",38,"Black","Male",24,"Black","Stranger","Firearm"
"629910","Murder or Manslaughter","Yes","Male",39,"Black","Male",19,"Black","Acquaintance","Firearm"
"629911","Murder or Manslaughter","Yes","Male",48,"White","Male",41,"Black","Stranger","Firearm"
"629912","Murder or Manslaughter","Yes","Male",40,"Black","Female",36,"White","Common-Law Husband","Knife"
"629913","Murder or Manslaughter","Yes","Male",22,"Black","Male",28,"Black","Acquaintance","Rifle"
"629914","Murder or Manslaughter","Yes","Female",53,"White","Male",57,"White","Girlfriend","Firearm"
"629915","Manslaughter by Negligence","Yes","Female",47,"Black","Male",43,"Black","Unknown","Gun"
"629916","Murder or Manslaughter","Yes","Male",30,"Black","Male",18,"Black","Acquaintance","Shotgun"
"629917","Murder or Manslaughter","Yes","Female",3,"Black","Male",0,"Black","Stranger","Firearm"
"629918","Murder or Manslaughter","Yes","Male",35,"White","Female",41,"White","Stranger","Handgun"
"629919","Murder or Manslaughter","Yes","Male",17,"Black","Male",20,"Black","Acquaintance","Handgun"
"629920","Murder or Manslaughter","Yes","Female",33,"Black","Male",26,"Black","Unknown","Knife"
"629921","Murder or Manslaughter","Yes","Male",24,"White","Male",35,"Black","Acquaintance","Firearm"
"629922","Manslaughter by Negligence","Yes","Male",52,"White","Male",0,"Black","Stranger","Handgun"
"629923","Murder or Manslaughter","Yes","Male",43,"Black","Male",28,"Black","Acquaintance","Firearm"
"629924","Murder or Manslaughter","Yes","Female",69,"White","Male",65,"White","Wife","Unknown"
"629925","Murder or Manslaughter","No","Female",66,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"629926","Murder or Manslaughter","Yes","Female",36,"White","Female",38,"White","Friend","Knife"
"629927","Murder or Manslaughter","Yes","Male",35,"Black","Male",0,"Black","Unknown","Handgun"
"629928","Murder or Manslaughter","Yes","Male",36,"White","Male",17,"White","Acquaintance","Fire"
"629929","Murder or Manslaughter","Yes","Male",31,"Black","Male",30,"Black","Unknown","Knife"
"629930","Murder or Manslaughter","Yes","Male",43,"Black","Male",42,"Black","Acquaintance","Knife"
"629931","Manslaughter by Negligence","Yes","Male",15,"Black","Male",21,"Black","Family","Handgun"
"629932","Murder or Manslaughter","No","Male",63,"White","Unknown",0,"Unknown","Unknown","Knife"
"629933","Murder or Manslaughter","No","Male",79,"Black","Unknown",0,"Unknown","Unknown","Unknown"
"629934","Murder or Manslaughter","No","Male",32,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629935","Murder or Manslaughter","Yes","Female",30,"White","Male",32,"Black","Girlfriend","Handgun"
"629936","Murder or Manslaughter","Yes","Male",23,"Black","Male",34,"Black","Acquaintance","Handgun"
"629937","Murder or Manslaughter","Yes","Male",52,"Black","Male",50,"Black","Brother","Handgun"
"629938","Murder or Manslaughter","No","Male",31,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629939","Murder or Manslaughter","Yes","Male",39,"White","Female",45,"White","Boyfriend","Handgun"
"629940","Murder or Manslaughter","No","Male",7,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629941","Murder or Manslaughter","Yes","Male",24,"White","Male",18,"Black","Unknown","Handgun"
"629942","Murder or Manslaughter","Yes","Male",32,"Black","Male",22,"Black","Acquaintance","Handgun"
"629943","Murder or Manslaughter","Yes","Male",38,"White","Male",19,"Black","Acquaintance","Handgun"
"629944","Murder or Manslaughter","Yes","Male",53,"Black","Male",30,"Black","Father","Blunt Object"
"629945","Murder or Manslaughter","Yes","Male",16,"Black","Male",19,"Black","Acquaintance","Handgun"
"629946","Murder or Manslaughter","Yes","Female",29,"White","Male",38,"White","Acquaintance","Blunt Object"
"629947","Murder or Manslaughter","No","Male",52,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629948","Murder or Manslaughter","Yes","Male",55,"White","Male",19,"White","Stranger","Unknown"
"629949","Murder or Manslaughter","Yes","Male",18,"Black","Male",18,"Black","Unknown","Handgun"
"629950","Murder or Manslaughter","Yes","Male",18,"Black","Male",18,"Black","Acquaintance","Handgun"
"629951","Murder or Manslaughter","Yes","Male",18,"Black","Male",18,"Black","Unknown","Handgun"
"629952","Murder or Manslaughter","Yes","Male",42,"White","Male",32,"Black","Acquaintance","Unknown"
"629953","Murder or Manslaughter","Yes","Male",19,"Black","Male",0,"Black","Unknown","Handgun"
"629954","Murder or Manslaughter","Yes","Male",24,"Black","Male",17,"Black","Acquaintance","Handgun"
"629955","Murder or Manslaughter","Yes","Male",25,"Black","Male",22,"Black","Stranger","Handgun"
"629956","Murder or Manslaughter","No","Male",38,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629957","Murder or Manslaughter","Yes","Male",64,"Black","Male",0,"Black","Unknown","Handgun"
"629958","Murder or Manslaughter","No","Male",49,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629959","Murder or Manslaughter","Yes","Male",29,"Black","Male",24,"Black","Unknown","Handgun"
"629960","Murder or Manslaughter","Yes","Male",57,"Black","Female",50,"Black","Husband","Handgun"
"629961","Murder or Manslaughter","Yes","Male",19,"Black","Male",16,"Black","Acquaintance","Handgun"
"629962","Murder or Manslaughter","Yes","Male",22,"Black","Male",26,"Black","Unknown","Handgun"
"629963","Murder or Manslaughter","Yes","Male",77,"White","Male",54,"White","Boyfriend/Girlfriend","Knife"
"629964","Murder or Manslaughter","Yes","Male",22,"Black","Male",27,"Black","Acquaintance","Handgun"
"629965","Murder or Manslaughter","Yes","Male",23,"Black","Male",0,"Black","Unknown","Handgun"
"629966","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629967","Murder or Manslaughter","No","Male",51,"Black","Unknown",0,"Unknown","Unknown","Knife"
"629968","Murder or Manslaughter","Yes","Male",28,"Black","Male",0,"Black","Unknown","Handgun"
"629969","Murder or Manslaughter","No","Male",34,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629970","Murder or Manslaughter","Yes","Male",28,"Black","Male",0,"Black","Unknown","Handgun"
"629971","Murder or Manslaughter","Yes","Male",52,"Black","Male",19,"Black","Stranger","Blunt Object"
"629972","Murder or Manslaughter","No","Male",58,"White","Unknown",0,"Unknown","Unknown","Knife"
"629973","Murder or Manslaughter","No","Male",29,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629974","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629975","Murder or Manslaughter","Yes","Male",24,"Black","Male",21,"Black","Unknown","Handgun"
"629976","Murder or Manslaughter","Yes","Male",59,"Black","Male",42,"Black","Unknown","Handgun"
"629977","Murder or Manslaughter","No","Male",35,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629978","Murder or Manslaughter","No","Male",21,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629979","Manslaughter by Negligence","Yes","Male",27,"Black","Male",21,"Black","Acquaintance","Handgun"
"629980","Murder or Manslaughter","Yes","Male",28,"Black","Male",25,"Black","Unknown","Handgun"
"629981","Murder or Manslaughter","Yes","Male",5,"Black","Male",36,"Black","Son","Blunt Object"
"629982","Murder or Manslaughter","Yes","Male",51,"White","Male",54,"Black","Stranger","Handgun"
"629983","Murder or Manslaughter","No","Male",37,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629984","Murder or Manslaughter","Yes","Female",32,"Black","Male",41,"Black","Girlfriend","Knife"
"629985","Manslaughter by Negligence","Yes","Female",82,"Black","Female",53,"Black","Daughter","Unknown"
"629986","Murder or Manslaughter","No","Male",23,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629987","Murder or Manslaughter","Yes","Male",21,"Black","Male",21,"Black","Unknown","Handgun"
"629988","Murder or Manslaughter","Yes","Male",17,"Black","Male",20,"Black","Stranger","Handgun"
"629989","Murder or Manslaughter","Yes","Male",24,"Black","Male",30,"Black","Acquaintance","Handgun"
"629990","Murder or Manslaughter","Yes","Male",27,"Black","Male",0,"Black","Unknown","Handgun"
"629991","Murder or Manslaughter","Yes","Male",32,"Black","Male",19,"Black","Acquaintance","Handgun"
"629992","Murder or Manslaughter","Yes","Male",19,"Black","Male",32,"Black","Acquaintance","Knife"
"629993","Murder or Manslaughter","Yes","Male",36,"White","Male",46,"White","Unknown","Handgun"
"629994","Murder or Manslaughter","Yes","Male",34,"Black","Male",21,"Black","Unknown","Handgun"
"629995","Murder or Manslaughter","No","Male",32,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629996","Murder or Manslaughter","No","Male",22,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629997","Murder or Manslaughter","No","Male",19,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"629998","Murder or Manslaughter","Yes","Female",2,"Black","Female",21,"Black","Daughter","Blunt Object"
"629999","Manslaughter by Negligence","Yes","Male",4,"Black","Male",25,"Black","Son","Drowning"
"630000","Murder or Manslaughter","No","Male",32,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630001","Murder or Manslaughter","Yes","Male",27,"Black","Male",19,"Black","Unknown","Handgun"
"630002","Murder or Manslaughter","Yes","Male",48,"Black","Male",37,"Black","Unknown","Shotgun"
"630003","Murder or Manslaughter","Yes","Male",30,"Black","Male",25,"Black","Family","Knife"
"630004","Murder or Manslaughter","Yes","Female",70,"Black","Male",26,"Black","Acquaintance","Shotgun"
"630005","Murder or Manslaughter","No","Male",24,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630006","Murder or Manslaughter","Yes","Female",45,"Black","Male",48,"Black","Wife","Knife"
"630007","Murder or Manslaughter","Yes","Male",42,"Black","Male",44,"Black","Acquaintance","Handgun"
"630008","Murder or Manslaughter","Yes","Male",25,"White","Male",22,"Black","Acquaintance","Handgun"
"630009","Murder or Manslaughter","No","Male",58,"White","Unknown",0,"Unknown","Unknown","Fire"
"630010","Murder or Manslaughter","Yes","Male",27,"Black","Male",18,"Black","Acquaintance","Handgun"
"630011","Murder or Manslaughter","No","Female",44,"White","Unknown",0,"Unknown","Unknown","Fire"
"630012","Murder or Manslaughter","Yes","Male",30,"White","Male",24,"Black","Acquaintance","Handgun"
"630013","Murder or Manslaughter","Yes","Female",26,"White","Male",29,"White","Girlfriend","Knife"
"630014","Murder or Manslaughter","Yes","Male",21,"White","Male",24,"White","Stranger","Handgun"
"630015","Murder or Manslaughter","Yes","Male",27,"Black","Male",18,"Black","Acquaintance","Handgun"
"630016","Murder or Manslaughter","Yes","Female",18,"Black","Male",19,"Black","Girlfriend","Handgun"
"630017","Murder or Manslaughter","Yes","Male",39,"Black","Male",22,"Black","Acquaintance","Handgun"
"630018","Murder or Manslaughter","No","Female",37,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"630019","Murder or Manslaughter","Yes","Male",1,"Black","Male",27,"Black","Acquaintance","Blunt Object"
"630020","Murder or Manslaughter","No","Female",48,"White","Unknown",0,"Unknown","Unknown","Blunt Object"
"630021","Murder or Manslaughter","No","Male",19,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630022","Murder or Manslaughter","No","Male",43,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630023","Murder or Manslaughter","Yes","Male",52,"Black","Male",14,"Black","Family","Blunt Object"
"630024","Murder or Manslaughter","No","Male",31,"Black","Unknown",0,"Unknown","Unknown","Rifle"
"630025","Murder or Manslaughter","No","Male",30,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630026","Murder or Manslaughter","No","Female",22,"Black","Unknown",0,"Unknown","Unknown","Firearm"
"630027","Murder or Manslaughter","No","Male",29,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630028","Murder or Manslaughter","Yes","Male",48,"White","Male",35,"White","Stranger","Handgun"
"630029","Murder or Manslaughter","No","Male",43,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630030","Murder or Manslaughter","Yes","Female",22,"White","Male",29,"White","Girlfriend","Knife"
"630031","Murder or Manslaughter","No","Male",18,"Black","Unknown",0,"Unknown","Unknown","Handgun"
"630032","Murder or Manslaughter","No","Male",32,"White","Unknown",0,"Unknown","Unknown","Fire"
"630033","Murder or Manslaughter","Yes","Female",34,"White","Male",28,"White","Girlfriend","Knife"
"630034","Murder or Manslaughter","No","Male",34,"Black","Unknown",0,"Unknown","Unknown","Handgun"
